Date,Open,High,Low,Close,Adj Close,Volume
1962-01-02,0.837449,0.837449,0.823045,0.823045,0.149243,352200
1962-01-03,0.835391,0.851852,0.835391,0.839506,0.152228,710400
1962-01-04,0.839506,0.853909,0.831276,0.831276,0.150736,911000
1962-01-05,0.831276,0.835391,0.792181,0.814815,0.147751,880400
1962-01-08,0.814815,0.829218,0.804527,0.816872,0.148124,473600
1962-01-09,0.816872,0.837449,0.810700,0.818930,0.148497,576800
1962-01-10,0.818930,0.833333,0.816872,0.818930,0.148497,352200
1962-01-11,0.820988,0.845679,0.820988,0.827160,0.149989,692400
1962-01-12,0.835391,0.855967,0.835391,0.849794,0.154094,972000
1962-01-15,0.845679,0.845679,0.829218,0.833333,0.151109,625400
1962-01-16,0.833333,0.837449,0.827160,0.827160,0.149989,376400
1962-01-17,0.827160,0.845679,0.827160,0.829218,0.150362,674000
1962-01-18,0.829218,0.841564,0.829218,0.833333,0.151109,710400
1962-01-19,0.835391,0.872428,0.835391,0.872428,0.158198,1293600
1962-01-22,0.872428,0.878601,0.860082,0.870370,0.157825,1147800
1962-01-23,0.862140,0.872428,0.860082,0.872428,0.158198,923400
1962-01-24,0.872428,0.876543,0.860082,0.876543,0.158944,1020600
1962-01-25,0.876543,0.901235,0.876543,0.897119,0.162675,2897400
1962-01-26,0.897119,0.903292,0.886831,0.893004,0.161929,1919600
1962-01-29,0.893004,0.899177,0.884774,0.897119,0.162675,941400
1962-01-30,0.897119,0.911523,0.893004,0.905350,0.164167,1749600
1962-01-31,0.907407,0.925926,0.907407,0.923868,0.167526,3383400
1962-02-01,0.923868,0.932099,0.897119,0.903292,0.163794,1968200
1962-02-02,0.903292,0.911523,0.884774,0.911523,0.165287,1105400
1962-02-05,0.909465,0.909465,0.893004,0.895062,0.163781,892800
1962-02-06,0.895062,0.897119,0.872428,0.895062,0.163781,801800
1962-02-07,0.895062,0.911523,0.888889,0.895062,0.163781,844200
1962-02-08,0.897119,0.911523,0.897119,0.897119,0.164157,656000
1962-02-09,0.899177,0.913580,0.899177,0.913580,0.167169,680400
1962-02-12,0.905350,0.905350,0.895062,0.899177,0.164534,510200
1962-02-13,0.903292,0.917695,0.903292,0.905350,0.165663,656000
1962-02-14,0.905350,0.915638,0.903292,0.911523,0.166793,540200
